,ARED
NanoRacks Platforms,0.0016025641025641025
Bio-Analyzer,0.0016025641025641025
EXHAM Facility,0.0016025641025641025
SlingShot,0.0016025641025641025
HSRC,0.0016025641025641025
CellCult,0.0010683760683760683
Bartolomeo,0.0010683760683760683
MUSES,0.0010683760683760683
Glovebox Freezer,0.0005341880341880341
Fruit Fly Lab,0.0005341880341880341
SALI,0.0005341880341880341
Nanoracks Airlock,0.0005341880341880341
JAXA Mouse Habitat Unit,0.0005341880341880341
Wet Lab RNA SmartCycler,0.0005341880341880341
BSTC,0.0005341880341880341
Rodent Research Facility,0.0005341880341880341
GASMAP,0.0005341880341880341
SCAN Testbed (Facility),0.0
Wet Lab Kit,0.0
Wearable Monitoring Facility,0.0
BioServe Microscope,0.0
Bioimpedance Analyzer,0.0
ADF,0.0
Biotube,0.0
BioServe Centrifuge,0.0
SPACE DREAMS Facility,0.0
BioFabrication Facility (BFF),0.0
BioChip SpaceLab,0.0
ARCTIC,0.0
SPHERES (Facility),0.0
SPySE,0.0
STaARS-1 EF,0.0
ADSEP-2,0.0
AEM,0.0
ALTEA Facility,0.0
BTR,0.0
APCF,0.0
BIOKON,0.0
Astro Garden,0.0
Acoustic Diagnostics Facility,0.0
Programmable Isolation Mount,0.0
PCG-STES,0.0
CRIM-M,0.0
Carbon Dioxide Meter,0.0
GAP-FPA,0.0
MSPR-2,0.0
GCF,0.0
Galley Refrigerator-Freezer,0.0
MQ-Warmchain,0.0
MOBIAS,0.0
MIS Fiber,0.0
HGD-PFD,0.0
HPA Facility,0.0
MDS Facility,0.0
Hermes Facility,0.0
ISERV (Facility),0.0
LIDAL Facility,0.0
In Situ Chemiluminescent Reader,0.0
KOBAIRO Rack,0.0
Faraday Research Facility,0.0
FPC,0.0
ELITE-S2 Facility,0.0
DDVS,0.0
Columbus-EPF,0.0
PFMI Facility,0.0
PERSEO Facility,0.0
Nanoracks Nanode,0.0
NanoRacks-extCygnus-NRCSD,0.0
NanoRacks-GoPro Fusion,0.0
NanoRacks Microscopes,0.0
MicroPREP,0.0
NanoRacks Microsat Deployer,0.0
EDR-2,0.0
NanoRacks Astrium Centrifuge,0.0
EFU Adapter2,0.0
Mobile SpaceLab,0.0
Mini Coldbag,0.0
ISS Ham Radio (ARISS),0.0
